Date,trend_kor,trend_glb,ticker,company_name,foreign_ratio,weighted_trend
2025-05-16,39.0,20.0,000660.KS,SK하이닉스,0.53,28.93
2025-05-17,21.0,11.0,000660.KS,SK하이닉스,0.53,15.7
2025-05-18,27.0,19.0,000660.KS,SK하이닉스,0.53,22.759999999999998
2025-05-19,49.0,27.0,000660.KS,SK하이닉스,0.53,37.339999999999996
2025-05-20,45.0,21.0,000660.KS,SK하이닉스,0.53,32.28
2025-05-21,36.0,16.0,000660.KS,SK하이닉스,0.53,25.4
2025-05-22,36.0,16.0,000660.KS,SK하이닉스,0.53,25.4
2025-05-23,37.0,17.0,000660.KS,SK하이닉스,0.53,26.4
2025-05-24,20.0,11.0,000660.KS,SK하이닉스,0.53,15.229999999999999
2025-05-25,18.0,6.0,000660.KS,SK하이닉스,0.53,11.639999999999999
2025-05-26,35.0,16.0,000660.KS,SK하이닉스,0.53,24.93
2025-05-27,39.0,20.0,000660.KS,SK하이닉스,0.53,28.93
2025-05-28,44.0,24.0,000660.KS,SK하이닉스,0.53,33.4
2025-05-29,40.0,21.0,000660.KS,SK하이닉스,0.53,29.93
2025-05-30,32.0,17.0,000660.KS,SK하이닉스,0.53,24.049999999999997
2025-05-31,15.0,8.0,000660.KS,SK하이닉스,0.53,11.29
2025-06-01,22.0,9.0,000660.KS,SK하이닉스,0.53,15.11
2025-06-02,34.0,12.0,000660.KS,SK하이닉스,0.53,22.34
2025-06-03,16.0,11.0,000660.KS,SK하이닉스,0.53,13.35
2025-06-04,50.0,22.0,000660.KS,SK하이닉스,0.53,35.16
2025-06-05,46.0,23.0,000660.KS,SK하이닉스,0.53,33.81
2025-06-06,14.0,10.0,000660.KS,SK하이닉스,0.53,11.88
2025-06-07,19.0,18.0,000660.KS,SK하이닉스,0.53,18.47
2025-06-08,27.0,23.0,000660.KS,SK하이닉스,0.53,24.880000000000003
2025-06-09,49.0,35.0,000660.KS,SK하이닉스,0.53,41.58
2025-06-10,40.0,27.0,000660.KS,SK하이닉스,0.53,33.11
2025-06-11,54.0,41.0,000660.KS,SK하이닉스,0.53,47.11
2025-06-12,54.0,33.0,000660.KS,SK하이닉스,0.53,42.870000000000005
2025-06-13,40.0,27.0,000660.KS,SK하이닉스,0.53,33.11
2025-06-14,26.0,18.0,000660.KS,SK하이닉스,0.53,21.759999999999998
2025-06-15,27.0,21.0,000660.KS,SK하이닉스,0.53,23.82
2025-06-16,62.0,36.0,000660.KS,SK하이닉스,0.53,48.22
2025-06-17,64.0,39.0,000660.KS,SK하이닉스,0.53,50.75
2025-06-18,47.0,23.0,000660.KS,SK하이닉스,0.53,34.28
2025-06-19,40.0,22.0,000660.KS,SK하이닉스,0.53,30.459999999999997
2025-06-20,47.0,20.0,000660.KS,SK하이닉스,0.53,32.69
2025-06-21,24.0,10.0,000660.KS,SK하이닉스,0.53,16.58
2025-06-22,27.0,12.0,000660.KS,SK하이닉스,0.53,19.05
2025-06-23,50.0,28.0,000660.KS,SK하이닉스,0.53,38.34
2025-06-24,63.0,35.0,000660.KS,SK하이닉스,0.53,48.16
2025-06-25,58.0,27.0,000660.KS,SK하이닉스,0.53,41.57
2025-06-26,68.0,36.0,000660.KS,SK하이닉스,0.53,51.04
2025-06-27,58.0,25.0,000660.KS,SK하이닉스,0.53,40.51
2025-06-28,24.0,14.0,000660.KS,SK하이닉스,0.53,18.7
2025-06-29,32.0,18.0,000660.KS,SK하이닉스,0.53,24.58
2025-06-30,67.0,34.0,000660.KS,SK하이닉스,0.53,49.51
2025-07-01,58.0,22.0,000660.KS,SK하이닉스,0.53,38.92
2025-07-02,56.0,26.0,000660.KS,SK하이닉스,0.53,40.1
2025-07-03,51.0,25.0,000660.KS,SK하이닉스,0.53,37.22
2025-07-04,64.0,23.0,000660.KS,SK하이닉스,0.53,42.269999999999996
2025-07-05,27.0,8.0,000660.KS,SK하이닉스,0.53,16.93
2025-07-06,29.0,14.0,000660.KS,SK하이닉스,0.53,21.049999999999997
2025-07-07,87.0,39.0,000660.KS,SK하이닉스,0.53,61.56
2025-07-08,63.0,27.0,000660.KS,SK하이닉스,0.53,43.92
2025-07-09,77.0,33.0,000660.KS,SK하이닉스,0.53,53.68
2025-07-10,79.0,30.0,000660.KS,SK하이닉스,0.53,53.029999999999994
2025-07-11,62.0,30.0,000660.KS,SK하이닉스,0.53,45.04
2025-07-12,46.0,17.0,000660.KS,SK하이닉스,0.53,30.629999999999995
2025-07-13,44.0,22.0,000660.KS,SK하이닉스,0.53,32.34
2025-07-14,79.0,41.0,000660.KS,SK하이닉스,0.53,58.86
2025-07-15,75.0,34.0,000660.KS,SK하이닉스,0.53,53.269999999999996
2025-07-16,60.0,26.0,000660.KS,SK하이닉스,0.53,41.980000000000004
2025-07-17,100.0,100.0,000660.KS,SK하이닉스,0.53,100.0
2025-07-18,72.0,33.0,000660.KS,SK하이닉스,0.53,51.33
2025-07-19,23.0,20.0,000660.KS,SK하이닉스,0.53,21.41
2025-07-20,29.0,24.0,000660.KS,SK하이닉스,0.53,26.35
2025-07-21,53.0,37.0,000660.KS,SK하이닉스,0.53,44.519999999999996
2025-07-22,53.0,29.0,000660.KS,SK하이닉스,0.53,40.28
2025-07-23,71.0,38.0,000660.KS,SK하이닉스,0.53,53.51
2025-07-24,79.0,50.0,000660.KS,SK하이닉스,0.53,63.629999999999995
2025-07-25,50.0,30.0,000660.KS,SK하이닉스,0.53,39.4
2025-07-26,27.0,17.0,000660.KS,SK하이닉스,0.53,21.7
2025-07-27,31.0,15.0,000660.KS,SK하이닉스,0.53,22.52
2025-07-28,68.0,40.0,000660.KS,SK하이닉스,0.53,53.16
2025-07-29,63.0,33.0,000660.KS,SK하이닉스,0.53,47.1
2025-07-30,52.0,35.0,000660.KS,SK하이닉스,0.53,42.989999999999995
2025-07-31,62.0,31.0,000660.KS,SK하이닉스,0.53,45.56999999999999
2025-08-01,64.0,42.0,000660.KS,SK하이닉스,0.53,52.34
2025-08-02,23.0,22.0,000660.KS,SK하이닉스,0.53,22.47
2025-08-03,30.0,26.011627906976745,000660.KS,SK하이닉스,0.53,27.886162790697675
2025-08-04,54.0,49.222093023255816,000660.KS,SK하이닉스,0.53,51.46770930232559
2025-08-05,66.0,55.97500000000001,000660.KS,SK하이닉스,0.53,60.68675
2025-08-06,69.0,67.83023255813954,000660.KS,SK하이닉스,0.53,68.38002325581397
2025-08-07,74.0,74.58313953488373,000660.KS,SK하이닉스,0.53,74.30906395348838
2025-08-08,56.0,61.57732558139536,000660.KS,SK하이닉스,0.53,58.95598255813954
2025-08-09,31.0,37.36686046511628,000660.KS,SK하이닉스,0.53,34.374436046511626
2025-08-10,25.0,44.11976744186047,000660.KS,SK하이닉스,0.53,35.13347674418605
2025-08-11,49.5,74.16627906976746,000660.KS,SK하이닉스,0.53,62.57312790697675
2025-08-12,25.0,81.9732558139535,000660.KS,SK하이닉스,0.53,55.195825581395354
2025-08-13,23.0,72.86511627906978,000660.KS,SK하이닉스,0.53,49.428511627906985
2025-08-14,20.0,61.15465116279071,000660.KS,SK하이닉스,0.53,41.811965116279076
2025-08-15,12.0,28.62558139534884,000660.KS,SK하이닉스,0.53,20.811558139534885
2025-08-16,9.0,36.43255813953489,000660.KS,SK하이닉스,0.53,23.539255813953492
2025-08-17,11.0,48.14302325581396,000660.KS,SK하이닉스,0.53,30.6858023255814
2025-08-18,20.0,63.756976744186055,000660.KS,SK하이닉스,0.53,43.19119767441861
2025-08-19,21.0,57.25116279069768,000660.KS,SK하이닉스,0.53,40.21311627906977
2025-08-20,21.0,46.84186046511629,000660.KS,SK하이닉스,0.53,34.696186046511635
2025-08-21,25.0,78.06976744186048,000660.KS,SK하이닉스,0.53,53.12697674418605
2025-08-22,21.0,48.14302325581396,000660.KS,SK하이닉스,0.53,35.385802325581395
2025-08-23,10.0,22.119767441860468,000660.KS,SK하이닉스,0.53,16.423476744186047
2025-08-24,12.0,23.420930232558145,000660.KS,SK하이닉스,0.53,18.05309302325582
2025-08-25,24.0,46.84186046511629,000660.KS,SK하이닉스,0.53,36.10618604651164
2025-08-26,21.0,46.84186046511629,000660.KS,SK하이닉스,0.53,34.696186046511635
2025-08-27,22.0,42.93837209302326,000660.KS,SK하이닉스,0.53,33.097337209302324
2025-08-28,24.0,53.34767441860466,000660.KS,SK하이닉스,0.53,39.554267441860475
2025-08-29,24.0,44.239534883720935,000660.KS,SK하이닉스,0.53,34.7269534883721
2025-08-30,12.0,24.722093023255816,000660.KS,SK하이닉스,0.53,18.742709302325583
2025-08-31,9.0,28.62558139534884,000660.KS,SK하이닉스,0.53,19.401558139534885
2025-09-01,40.0,74.16627906976746,000660.KS,SK하이닉스,0.53,58.10812790697675
2025-09-02,47.0,76.7686046511628,000660.KS,SK하이닉스,0.53,62.77736046511629
2025-09-03,42.0,67.66046511627908,000660.KS,SK하이닉스,0.53,55.60004651162791
2025-09-04,32.0,70.26279069767443,000660.KS,SK하이닉스,0.53,52.27927906976745
2025-09-05,29.0,57.25116279069768,000660.KS,SK하이닉스,0.53,43.97311627906977
2025-09-06,15.0,39.03488372093024,000660.KS,SK하이닉스,0.53,27.738488372093027
2025-09-07,16.0,40.33604651162791,000660.KS,SK하이닉스,0.53,28.898104651162793
2025-09-08,26.0,57.25116279069768,000660.KS,SK하이닉스,0.53,42.563116279069774
2025-09-09,28.0,54.648837209302336,000660.KS,SK하이닉스,0.53,42.12388372093024
2025-09-10,33.0,91.08139534883722,000660.KS,SK하이닉스,0.53,63.78313953488372
2025-09-11,28.0,80.67209302325583,000660.KS,SK하이닉스,0.53,55.91620930232558
2025-09-12,34.0,115.80348837209304,000660.KS,SK하이닉스,0.53,77.35584883720932
2025-09-13,15.0,50.745348837209306,000660.KS,SK하이닉스,0.53,33.945034883720936
2025-09-14,13.0,57.25116279069768,000660.KS,SK하이닉스,0.53,36.453116279069775
2025-09-15,35.0,102.79186046511629,000660.KS,SK하이닉스,0.53,70.92968604651163
2025-09-16,44.0,124.91162790697676,000660.KS,SK하이닉스,0.53,86.8831627906977
2025-09-17,33.0,83.27441860465117,000660.KS,SK하이닉스,0.53,59.64544186046512
2025-09-18,37.0,106.69534883720932,000660.KS,SK하이닉스,0.53,73.93853488372095
2025-09-19,28.0,74.16627906976746,000660.KS,SK하이닉스,0.53,52.46812790697675
2025-09-20,16.0,48.14302325581396,000660.KS,SK하이닉스,0.53,33.0358023255814
2025-09-21,24.0,58.55232558139536,000660.KS,SK하이닉스,0.53,42.312732558139544
2025-09-22,53.0,117.10465116279072,000660.KS,SK하이닉스,0.53,86.97546511627908
2025-09-23,42.0,94.98488372093024,000660.KS,SK하이닉스,0.53,70.08198837209302
2025-09-24,39.0,78.06976744186048,000660.KS,SK하이닉스,0.53,59.70697674418605
2025-09-25,36.0,70.26279069767443,000660.KS,SK하이닉스,0.53,54.15927906976745
2025-09-26,36.0,81.9732558139535,000660.KS,SK하이닉스,0.53,60.365825581395356
2025-09-27,25.0,52.04651162790698,000660.KS,SK하이닉스,0.53,39.334651162790706
2025-09-28,32.0,67.66046511627908,000660.KS,SK하이닉스,0.53,50.90004651162791
2025-09-29,49.0,92.3825581395349,000660.KS,SK하이닉스,0.53,71.9927558139535
2025-09-30,65.0,130.11627906976747,000660.KS,SK하이닉스,0.53,99.51162790697676
2025-10-01,53.0,106.69534883720932,000660.KS,SK하이닉스,0.53,81.45853488372094
2025-10-02,50.0,109.29767441860469,000660.KS,SK하이닉스,0.53,81.42776744186048
2025-10-03,14.0,36.43255813953489,000660.KS,SK하이닉스,0.53,25.88925581395349
2025-10-04,13.0,32.52906976744187,000660.KS,SK하이닉스,0.53,23.35040697674419
2025-10-05,12.0,29.92674418604652,000660.KS,SK하이닉스,0.53,21.501174418604656
2025-10-06,12.0,26.02325581395349,000660.KS,SK하이닉스,0.53,19.43232558139535
2025-10-07,15.0,31.22790697674419,000660.KS,SK하이닉스,0.53,23.600790697674423
2025-10-08,11.0,24.722093023255816,000660.KS,SK하이닉스,0.53,18.27270930232558
2025-10-09,13.0,36.43255813953489,000660.KS,SK하이닉스,0.53,25.41925581395349
2025-10-10,38.0,79.37093023255815,000660.KS,SK하이닉스,0.53,59.92659302325582
2025-10-11,17.0,41.63720930232559,000660.KS,SK하이닉스,0.53,30.05772093023256
2025-10-12,15.0,42.93837209302326,000660.KS,SK하이닉스,0.53,29.80733720930233
2025-10-13,33.0,61.15465116279071,000660.KS,SK하이닉스,0.53,47.921965116279075
2025-10-14,35.0,63.756976744186055,000660.KS,SK하이닉스,0.53,50.241197674418615
2025-10-15,31.0,63.756976744186055,000660.KS,SK하이닉스,0.53,48.36119767441861
2025-10-16,56.0,109.29767441860469,000660.KS,SK하이닉스,0.53,84.24776744186049
2025-10-17,34.0,70.26279069767443,000660.KS,SK하이닉스,0.53,53.219279069767445
2025-10-18,15.0,42.93837209302326,000660.KS,SK하이닉스,0.53,29.80733720930233
2025-10-19,14.0,37.733720930232565,000660.KS,SK하이닉스,0.53,26.578872093023257
2025-10-20,40.0,79.37093023255815,000660.KS,SK하이닉스,0.53,60.86659302325582
2025-10-21,42.0,78.06976744186048,000660.KS,SK하이닉스,0.53,61.11697674418605
2025-10-22,38.0,70.26279069767443,000660.KS,SK하이닉스,0.53,55.09927906976745
2025-10-23,30.0,53.34767441860466,000660.KS,SK하이닉스,0.53,42.374267441860475
2025-10-24,43.0,78.06976744186048,000660.KS,SK하이닉스,0.53,61.586976744186046
2025-10-25,19.0,36.43255813953489,000660.KS,SK하이닉스,0.53,28.23925581395349
2025-10-26,23.0,44.239534883720935,000660.KS,SK하이닉스,0.53,34.25695348837209
2025-10-27,54.0,92.3825581395349,000660.KS,SK하이닉스,0.53,74.34275581395349
2025-10-28,50.0,100.18953488372094,000660.KS,SK하이닉스,0.53,76.6004534883721
2025-10-29,64.0,114.50232558139535,000660.KS,SK하이닉스,0.53,90.76623255813954
2025-10-30,58.0,94.98488372093024,000660.KS,SK하이닉스,0.53,77.60198837209302
2025-10-31,60.0,102.79186046511629,000660.KS,SK하이닉스,0.53,82.67968604651163
2025-11-01,47.0,67.66046511627908,000660.KS,SK하이닉스,0.53,57.95004651162792
2025-11-02,36.0,67.34184583881822,000660.KS,SK하이닉스,0.53,52.61117829457365
2025-11-03,100.0,67.02322656135733,000660.KS,SK하이닉스,0.53,82.52231007751939
2025-11-04,76.0,66.70460728389646,000660.KS,SK하이닉스,0.53,71.07344186046512
2025-11-05,78.0,66.38598800643558,000660.KS,SK하이닉스,0.53,71.84457364341085
2025-11-06,63.0,66.06736872897471,000660.KS,SK하이닉스,0.53,64.6257054263566
2025-11-07,60.0,65.74874945151383,000660.KS,SK하이닉스,0.53,63.046837209302325
2025-11-08,29.0,65.43013017405296,000660.KS,SK하이닉스,0.53,48.307968992248064
2025-11-09,38.0,65.11151089659208,000660.KS,SK하이닉스,0.53,52.3691007751938
2025-11-10,60.0,64.79289161913121,000660.KS,SK하이닉스,0.53,62.540232558139536
2025-11-11,43.5,64.47427234167034,000660.KS,SK하이닉스,0.53,54.61636434108529
2025-11-12,38.0,64.15565306420946,000660.KS,SK하이닉스,0.53,51.86249612403102
2025-11-13,30.0,63.83703378674858,000660.KS,SK하이닉스,0.53,47.933627906976746
2025-11-14,36.0,63.51841450928771,000660.KS,SK하이닉스,0.53,50.58475968992249
2025-11-15,15.0,63.19979523182684,000660.KS,SK하이닉스,0.53,40.54589147286823
2025-11-16,17.0,62.881175954365965,000660.KS,SK하이닉스,0.53,41.317023255813965
2025-11-17,35.0,62.56255667690509,000660.KS,SK하이닉스,0.53,49.608155038759705
2025-11-18,32.0,62.24393739944421,000660.KS,SK하이닉스,0.53,48.02928682170543
2025-11-19,34.0,61.92531812198334,000660.KS,SK하이닉스,0.53,48.80041860465117
2025-11-20,36.0,61.60669884452246,000660.KS,SK하이닉스,0.53,49.5715503875969
2025-11-21,40.0,61.28807956706159,000660.KS,SK하이닉스,0.53,51.28268217054264
2025-11-22,17.0,60.96946028960072,000660.KS,SK하이닉스,0.53,40.30381395348839
2025-11-23,20.0,60.65084101213984,000660.KS,SK하이닉스,0.53,41.544945736434116
2025-11-24,33.0,60.33222173467897,000660.KS,SK하이닉스,0.53,47.486077519379855
2025-11-25,34.0,60.01360245721809,000660.KS,SK하이닉스,0.53,47.787209302325586
2025-11-26,38.0,59.694983179757216,000660.KS,SK하이닉스,0.53,49.49834108527132
2025-11-27,33.0,59.37636390229634,000660.KS,SK하이닉스,0.53,46.97947286821706
2025-11-28,26.0,59.057744624835465,000660.KS,SK하이닉스,0.53,43.5206046511628
2025-11-29,14.0,58.73912534737459,000660.KS,SK하이닉스,0.53,37.71173643410853
2025-11-30,16.0,58.42050606991371,000660.KS,SK하이닉스,0.53,38.48286821705427
2025-12-01,29.0,58.101886792452845,000660.KS,SK하이닉스,0.53,44.42400000000001
2025-12-02,30.0,57.78326751499197,000660.KS,SK하이닉스,0.53,44.725131782945745
2025-12-03,26.0,57.46464823753109,000660.KS,SK하이닉스,0.53,42.676263565891475
2025-12-04,27.0,57.14602896007022,000660.KS,SK하이닉스,0.53,42.97739534883722
2025-12-05,26.0,56.82740968260934,000660.KS,SK하이닉스,0.53,42.33852713178295
2025-12-06,12.0,56.50879040514847,000660.KS,SK하이닉스,0.53,35.58965891472869
2025-12-07,16.0,56.19017112768759,000660.KS,SK하이닉스,0.53,37.30079069767443
2025-12-08,35.0,55.87155185022672,000660.KS,SK하이닉스,0.53,46.06192248062017
2025-12-09,28.0,55.55293257276584,000660.KS,SK하이닉스,0.53,42.603054263565895
2025-12-10,32.0,55.23431329530497,000660.KS,SK하이닉스,0.53,44.31418604651164
2025-12-11,30.0,54.915694017844096,000660.KS,SK하이닉스,0.53,43.20531782945737
2025-12-12,22.0,54.59707474038322,000660.KS,SK하이닉스,0.53,39.27644961240311
2025-12-13,13.0,54.278455462922345,000660.KS,SK하이닉스,0.53,34.87758139534884
2025-12-14,16.0,53.95983618546147,000660.KS,SK하이닉스,0.53,36.118713178294584
2025-12-15,27.0,53.641216908000594,000660.KS,SK하이닉스,0.53,41.11984496124032
2025-12-16,30.0,53.32259763053972,000660.KS,SK하이닉스,0.53,42.360976744186054
2025-12-17,30.0,53.00397835307885,000660.KS,SK하이닉스,0.53,42.19210852713179
2025-12-18,25.0,52.68535907561797,000660.KS,SK하이닉스,0.53,39.673240310077524
2025-12-19,26.0,52.3667397981571,000660.KS,SK하이닉스,0.53,39.97437209302326
2025-12-20,10.0,52.04812052069622,000660.KS,SK하이닉스,0.53,32.285503875969
2025-12-21,13.0,51.72950124323535,000660.KS,SK하이닉스,0.53,33.526635658914735
2025-12-22,27.0,51.41088196577447,000660.KS,SK하이닉스,0.53,39.93776744186047
2025-12-23,24.0,51.0922626883136,000660.KS,SK하이닉스,0.53,38.35889922480621
2025-12-24,22.0,50.77364341085272,000660.KS,SK하이닉스,0.53,37.25003100775194
2025-12-25,12.0,50.455024133391845,000660.KS,SK하이닉스,0.53,32.38116279069768
2025-12-26,28.0,50.13640485593098,000660.KS,SK하이닉스,0.53,39.732294573643415
2025-12-27,14.0,49.817785578470094,000660.KS,SK하이닉스,0.53,32.98342635658915
2025-12-28,17.0,49.499166301009225,000660.KS,SK하이닉스,0.53,34.22455813953489
2025-12-29,34.0,49.18054702354835,000660.KS,SK하이닉스,0.53,42.045689922480626
2025-12-30,34.0,48.861927746087474,000660.KS,SK하이닉스,0.53,41.87682170542636
2025-12-31,22.0,48.5433084686266,000660.KS,SK하이닉스,0.53,36.0679534883721
2026-01-01,17.0,48.22468919116572,000660.KS,SK하이닉스,0.53,33.549085271317836
2026-01-02,41.0,47.90606991370485,000660.KS,SK하이닉스,0.53,44.66021705426357
2026-01-03,17.0,47.58745063624397,000660.KS,SK하이닉스,0.53,33.21134883720931
2026-01-04,21.0,47.2688313587831,000660.KS,SK하이닉스,0.53,34.92248062015504
2026-01-05,43.0,46.95021208132222,000660.KS,SK하이닉스,0.53,45.09361240310078
2026-01-06,51.0,46.63159280386135,000660.KS,SK하이닉스,0.53,48.684744186046515
2026-01-07,48.0,46.31297352640048,000660.KS,SK하이닉스,0.53,47.10587596899225
2026-01-08,58.0,45.9943542489396,000660.KS,SK하이닉스,0.53,51.637007751937986
2026-01-09,42.0,45.675734971478725,000660.KS,SK하이닉스,0.53,43.94813953488372
2026-01-10,23.0,45.35711569401785,000660.KS,SK하이닉스,0.53,34.84927131782946
2026-01-11,25.0,45.03849641655698,000660.KS,SK하이닉스,0.53,35.620403100775206
2026-01-12,36.0,44.7198771390961,000660.KS,SK하이닉스,0.53,40.621534883720926
2026-01-13,41.0,44.40125786163523,000660.KS,SK하이닉스,0.53,42.802666666666674
2026-01-14,38.0,44.08263858417435,000660.KS,SK하이닉스,0.53,41.2237984496124
2026-01-15,41.0,43.76401930671348,000660.KS,SK하이닉스,0.53,42.464930232558146
2026-01-16,37.0,43.4454000292526,000660.KS,SK하이닉스,0.53,40.41606201550388
2026-01-17,26.0,43.12678075179173,000660.KS,SK하이닉스,0.53,35.07719379844961
2026-01-18,27.0,42.80816147433085,000660.KS,SK하이닉스,0.53,35.37832558139535
2026-01-19,39.0,42.48954219686998,000660.KS,SK하이닉스,0.53,40.84945736434109
2026-01-20,38.0,42.17092291940911,000660.KS,SK하이닉스,0.53,40.210589147286825
2026-01-21,36.0,41.85230364194823,000660.KS,SK하이닉스,0.53,39.10172093023256
2026-01-22,41.0,41.53368436448736,000660.KS,SK하이닉스,0.53,41.2828527131783
2026-01-23,36.0,41.21506508702648,000660.KS,SK하이닉스,0.53,38.76398449612404
2026-01-24,18.0,40.896445809565606,000660.KS,SK하이닉스,0.53,30.13511627906977
2026-01-25,21.0,40.57782653210473,000660.KS,SK하이닉스,0.53,31.376248062015506
2026-01-26,38.0,40.259207254643854,000660.KS,SK하이닉스,0.53,39.19737984496125
2026-01-27,53.0,39.94058797718298,000660.KS,SK하이닉스,0.53,46.07851162790698
2026-01-28,100.0,39.6219686997221,000660.KS,SK하이닉스,0.53,67.99964341085271
2026-01-29,76.0,39.30334942226124,000660.KS,SK하이닉스,0.53,56.55077519379846
2026-01-30,76.0,38.98473014480035,000660.KS,SK하이닉스,0.53,56.38190697674419
2026-01-31,27.0,38.66611086733948,000660.KS,SK하이닉스,0.53,33.18303875968993
2026-02-01,28.0,38.34749158987861,000660.KS,SK하이닉스,0.53,33.48417054263567
2026-02-02,53.0,38.02887231241773,000660.KS,SK하이닉스,0.53,45.0653023255814
2026-02-03,51.0,37.71025303495686,000660.KS,SK하이닉스,0.53,43.956434108527134
2026-02-04,49.0,37.39163375749598,000660.KS,SK하이닉스,0.53,42.84756589147287
2026-02-05,50.0,37.07301448003511,000660.KS,SK하이닉스,0.53,43.148697674418614
2026-02-06,49.0,36.75439520257423,000660.KS,SK하이닉스,0.53,42.50982945736434
2026-02-07,24.0,36.43577592511336,000660.KS,SK하이닉스,0.53,30.59096124031008
2026-02-08,25.0,36.11715664765248,000660.KS,SK하이닉스,0.53,30.892093023255814
2026-02-09,40.0,35.79853737019161,000660.KS,SK하이닉스,0.53,37.773224806201554
2026-02-10,35.0,35.479918092730735,000660.KS,SK하이닉스,0.53,35.25435658914729
2026-02-11,34.0,35.16129881526986,000660.KS,SK하이닉스,0.53,34.615488372093026
2026-02-12,13.0,34.84267953780898,000660.KS,SK하이닉스,0.53,24.57662015503876
2026-02-13,10.0,34.52406026034811,000660.KS,SK하이닉스,0.53,22.997751937984496
2026-02-14,6.0,34.20544098288723,000660.KS,SK하이닉스,0.53,20.948883720930233
2026-02-15,6.0,33.88682170542636,000660.KS,SK하이닉스,0.53,20.78001550387597
2026-02-16,6.0,33.56820242796549,000660.KS,SK하이닉스,0.53,20.61114728682171
2026-02-17,6.0,33.24958315050461,000660.KS,SK하이닉스,0.53,20.442279069767444
2026-02-18,5.0,32.93096387304374,000660.KS,SK하이닉스,0.53,19.803410852713178
2026-02-19,10.0,32.61234459558286,000660.KS,SK하이닉스,0.53,21.984542635658915
2026-02-20,15.0,32.293725318121986,000660.KS,SK하이닉스,0.53,24.165674418604652
2026-02-21,8.0,31.97510604066111,000660.KS,SK하이닉스,0.53,20.706806201550386
2026-02-22,8.0,31.656486763200235,000660.KS,SK하이닉스,0.53,20.537937984496125
2026-02-23,14.0,31.33786748573936,000660.KS,SK하이닉스,0.53,23.189069767441865
2026-02-24,21.0,31.019248208278484,000660.KS,SK하이닉스,0.53,26.310201550387596
2026-02-25,21.0,30.70062893081761,000660.KS,SK하이닉스,0.53,26.141333333333336
2026-02-26,25.0,30.38200965335674,000660.KS,SK하이닉스,0.53,27.852465116279074
2026-02-27,19.0,30.063390375895864,000660.KS,SK하이닉스,0.53,24.86359689922481
2026-02-28,10.0,29.74477109843499,000660.KS,SK하이닉스,0.53,20.464728682170545
2026-03-01,6.0,29.426151820974116,000660.KS,SK하이닉스,0.53,18.415860465116282
2026-03-02,8.0,29.10753254351324,000660.KS,SK하이닉스,0.53,19.18699224806202
2026-03-03,24.0,28.78891326605236,000660.KS,SK하이닉스,0.53,26.53812403100775
2026-03-04,23.0,28.47029398859149,000660.KS,SK하이닉스,0.53,25.899255813953488
2026-03-05,19.0,28.151674711130617,000660.KS,SK하이닉스,0.53,23.85038759689923
2026-03-06,16.0,27.83305543366974,000660.KS,SK하이닉스,0.53,22.271519379844964
2026-03-07,9.0,27.514436156208863,000660.KS,SK하이닉스,0.53,18.812651162790697
2026-03-08,11.0,27.19581687874799,000660.KS,SK하이닉스,0.53,19.583782945736438
2026-03-09,22.0,26.877197601287115,000660.KS,SK하이닉스,0.53,24.584914728682172
2026-03-10,22.0,26.55857832382624,000660.KS,SK하이닉스,0.53,24.416046511627908
2026-03-11,18.0,26.239959046365364,000660.KS,SK하이닉스,0.53,22.36717829457364
2026-03-12,15.0,25.921339768904488,000660.KS,SK하이닉스,0.53,20.78831007751938
2026-03-13,14.0,25.602720491443613,000660.KS,SK하이닉스,0.53,20.149441860465117
2026-03-14,7.0,25.284101213982744,000660.KS,SK하이닉스,0.53,16.690573643410854
2026-03-15,9.0,24.96548193652187,000660.KS,SK하이닉스,0.53,17.46170542635659
2026-03-16,18.0,24.646862659060996,000660.KS,SK하이닉스,0.53,21.522837209302327
2026-03-17,17.0,24.32824338160012,000660.KS,SK하이닉스,0.53,20.883968992248064
2026-03-18,21.0,24.00962410413924,000660.KS,SK하이닉스,0.53,22.5951007751938
2026-03-19,19.0,23.69100482667837,000660.KS,SK하이닉스,0.53,21.486232558139534
2026-03-20,15.0,23.37238554921749,000660.KS,SK하이닉스,0.53,19.43736434108527
2026-03-21,11.0,23.05376627175661,000660.KS,SK하이닉스,0.53,17.388496124031004
2026-03-22,17.0,22.735146994295743,000660.KS,SK하이닉스,0.53,20.039627906976744
2026-03-23,22.0,22.41652771683487,000660.KS,SK하이닉스,0.53,22.22075968992248
2026-03-24,14.0,22.097908439373995,000660.KS,SK하이닉스,0.53,18.29189147286822
2026-03-25,18.0,21.77928916191312,000660.KS,SK하이닉스,0.53,20.003023255813954
2026-03-26,20.0,21.460669884452244,000660.KS,SK하이닉스,0.53,20.774155038759687
2026-03-27,14.0,21.14205060699137,000660.KS,SK하이닉스,0.53,17.785286821705427
2026-03-28,6.0,20.823431329530493,000660.KS,SK하이닉스,0.53,13.856418604651163
2026-03-29,7.0,20.504812052069617,000660.KS,SK하이닉스,0.53,14.157550387596899
2026-03-30,13.0,20.18619277460874,000660.KS,SK하이닉스,0.53,16.80868217054263
2026-03-31,21.0,19.867573497147877,000660.KS,SK하이닉스,0.53,20.399813953488376
2026-04-01,17.0,19.548954219687,000660.KS,SK하이닉스,0.53,18.35094573643411
2026-04-02,15.0,19.23033494222612,000660.KS,SK하이닉스,0.53,17.242077519379844
